day_of_year,normal_temp_range,normal_temp_ave,normal_temp_max,normal_temp_min
6-14,17.8,70.7,79.6,61.8
6-15,17.8,71.1,80,62.2
6-16,17.7,71.4,80.3,62.5
6-17,17.7,71.7,80.6,62.9
6-18,17.7,72.1,80.9,63.2
6-19,17.6,72.4,81.2,63.5
6-20,17.6,72.7,81.5,63.9
6-21,17.6,73,81.8,64.2
6-22,17.5,73.2,82,64.5
6-23,17.5,73.5,82.3,64.8
6-24,17.5,73.8,82.5,65
6-25,17.5,74,82.8,65.3
6-26,17.4,74.3,83,65.5
6-27,17.4,74.5,83.2,65.8
6-28,17.4,74.7,83.4,66
6-29,17.4,74.9,83.6,66.2
6-30,17.3,75.1,83.7,66.4
7-1,17.3,75.2,83.9,66.6
7-2,17.3,75.4,84,66.7
7-3,17.2,75.5,84.1,66.9
7-4,17.2,75.6,84.2,67
7-5,17.2,75.7,84.3,67.2
7-6,17.2,75.8,84.4,67.3
7-7,17.1,75.9,84.5,67.4
7-8,17.1,76,84.5,67.5
7-9,17,76,84.6,67.5
7-10,17,76.1,84.6,67.6
7-11,17,76.1,84.6,67.6
7-12,16.9,76.1,84.6,67.7
7-13,16.9,76.2,84.6,67.7
7-14,16.8,76.2,84.6,67.7
7-15,16.8,76.2,84.6,67.8
7-16,16.8,76.1,84.5,67.8
7-17,16.7,76.1,84.5,67.8
7-18,16.7,76.1,84.4,67.8
7-19,16.6,76.1,84.4,67.8
7-20,16.5,76,84.3,67.7
7-21,16.5,76,84.2,67.7
7-22,16.4,75.9,84.1,67.7
7-23,16.4,75.9,84.1,67.7
7-24,16.3,75.8,84,67.7
7-25,16.3,75.8,83.9,67.6
7-26,16.2,75.7,83.8,67.6
7-27,16.2,75.7,83.7,67.6
7-28,16.1,75.6,83.6,67.5
7-29,16.1,75.5,83.6,67.5
7-30,16,75.5,83.5,67.5
7-31,16,75.4,83.4,67.4
8-1,15.9,75.4,83.3,67.4
8-2,15.9,75.3,83.2,67.4
8-3,15.8,75.2,83.2,67.3
8-4,15.8,75.2,83.1,67.3
8-5,15.7,75.1,83,67.3
8-6,15.7,75.1,82.9,67.2
8-7,15.7,75,82.9,67.2
8-8,15.7,75,82.8,67.1
8-9,15.7,74.9,82.7,67.1
8-10,15.6,74.8,82.7,67
8-11,15.6,74.8,82.6,67
8-12,15.6,74.7,82.5,66.9
8-13,15.6,74.6,82.5,66.8
8-14,15.6,74.6,82.4,66.7
8-15,15.7,74.5,82.3,66.7
8-16,15.7,74.4,82.2,66.6
8-17,15.7,74.3,82.2,66.5
8-18,15.7,74.2,82.1,66.3
8-19,15.8,74.1,82,66.2
8-20,15.8,74,81.9,66.1
8-21,15.9,73.9,81.8,65.9
8-22,15.9,73.7,81.7,65.8
8-23,16,73.6,81.6,65.6
8-24,16.1,73.4,81.5,65.4
8-25,16.1,73.3,81.3,65.2
8-26,16.2,73.1,81.2,65
8-27,16.3,72.9,81.1,64.8
8-28,16.4,72.7,80.9,64.5
8-29,16.5,72.5,80.7,64.3
8-30,16.5,72.3,80.5,64
8-31,16.6,72,80.3,63.7
9-1,16.7,71.8,80.1,63.4
9-2,16.8,71.5,79.9,63.1
9-3,16.9,71.2,79.7,62.7
9-4,17,70.9,79.4,62.4
9-5,17.1,70.6,79.1,62
9-6,17.2,70.3,78.9,61.7
9-7,17.3,69.9,78.6,61.3
9-8,17.4,69.6,78.3,60.9
9-9,17.5,69.2,78,60.5
9-10,17.6,68.8,77.6,60.1
9-11,17.6,68.5,77.3,59.6
9-12,17.7,68.1,76.9,59.2
9-13,17.8,67.7,76.6,58.8
9-14,17.9,67.2,76.2,58.3
9-15,17.9,66.8,75.8,57.9
9-16,18,66.4,75.4,57.4
9-17,18.1,66,75,56.9
9-18,18.1,65.5,74.6,56.5
9-19,18.2,65.1,74.2,56
9-20,18.2,64.7,73.8,55.6
9-21,18.2,64.2,73.3,55.1
9-22,18.3,63.8,72.9,54.6
9-23,18.3,63.3,72.5,54.2
9-24,18.3,62.9,72,53.7
9-25,18.3,62.4,71.6,53.3
9-26,18.3,62,71.2,52.8
9-27,18.3,61.6,70.7,52.4
9-28,18.3,61.1,70.3,52
9-29,18.3,60.7,69.8,51.6
9-30,18.3,60.3,69.4,51.1
10-1,18.2,59.9,69,50.7
10-2,18.2,59.4,68.5,50.3
10-3,18.2,59,68.1,49.9
10-4,18.1,58.6,67.7,49.6
10-5,18.1,58.2,67.3,49.2
10-6,18,57.8,66.8,48.8
10-7,17.9,57.5,66.4,48.5
10-8,17.9,57.1,66,48.1
10-9,17.8,56.7,65.6,47.8
10-10,17.7,56.3,65.2,47.5
10-11,17.6,56,64.8,47.1
10-12,17.6,55.6,64.4,46.8
10-13,17.5,55.3,64,46.5
10-14,17.4,54.9,63.6,46.2
10-15,17.3,54.5,63.2,45.9
10-16,17.2,54.2,62.8,45.6
10-17,17.1,53.9,62.4,45.3
10-18,17,53.5,62,45
10-19,16.9,53.2,61.6,44.7
10-20,16.8,52.8,61.2,44.4
10-21,16.7,52.5,60.8,44.1
10-22,16.6,52.1,60.4,43.8
10-23,16.5,51.8,60,43.5
10-24,16.4,51.4,59.6,43.2
10-25,16.3,51.1,59.2,42.9
10-26,16.1,50.7,58.8,42.6
10-27,16,50.3,58.3,42.3
10-28,15.9,49.9,57.9,42
10-29,15.8,49.6,57.5,41.7
10-30,15.7,49.2,57,41.3
10-31,15.6,48.8,56.6,41
11-1,15.5,48.4,56.1,40.6
11-2,15.4,48,55.7,40.3
11-3,15.3,47.5,55.2,39.9
11-4,15.2,47.1,54.7,39.5
